                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6865,                 2.4259,                 1.3848,                0.66744,                0.63954,                0.60828,                0.28401,                 1.4312,                 1.5625,                 1.2395,             0.00054625,             0.00054625,             0.00054625
                      2,                 1.4086,                 1.0749,                 1.1788,                0.76955,                0.65912,                 0.7158,                0.35405,                 1.4353,                  1.048,                 1.1966,              0.0010946,              0.0010946,              0.0010946
                      3,                 1.4071,                0.97201,                 1.1807,                0.69452,                0.67029,                0.68612,                0.32637,                 1.4501,                 1.0002,                 1.2937,              0.0016357,              0.0016357,              0.0016357
                      4,                 1.3763,                0.95959,                 1.1624,                0.57062,                0.71462,                0.62618,                0.34527,                  1.317,                 1.9998,                 1.1765,               0.001634,               0.001634,               0.001634
                      5,                 1.3669,                0.90354,                  1.145,                0.79309,                0.67027,                0.71639,                0.35808,                  1.337,                0.92717,                 1.1721,               0.001623,               0.001623,               0.001623
                      6,                 1.3258,                0.84378,                 1.1329,                0.76986,                0.88298,                0.83424,                0.42375,                 1.3156,                0.74415,                 1.1436,               0.001612,               0.001612,               0.001612
                      7,                 1.3318,                0.83163,                 1.1298,                0.74962,                0.78468,                0.80669,                0.38723,                 1.2753,                0.90052,                 1.1302,               0.001601,               0.001601,               0.001601
                      8,                 1.3328,                 0.8144,                 1.1384,                0.80129,                0.83639,                0.82452,                0.41438,                 1.2498,                0.77046,                 1.1044,                0.00159,                0.00159,                0.00159
                      9,                 1.2918,                 0.7699,                 1.1195,                0.85756,                0.84996,                0.88401,                0.43284,                 1.2705,                0.72953,                 1.1339,               0.001579,               0.001579,               0.001579
                     10,                  1.287,                 0.7677,                 1.1052,                0.86753,                0.80333,                 0.8308,                0.41596,                 1.2094,                0.72236,                 1.1142,               0.001568,               0.001568,               0.001568
                     11,                 1.2762,                0.75927,                  1.115,                0.80299,                0.85548,                0.85235,                0.43626,                 1.2277,                0.68987,                 1.1003,               0.001557,               0.001557,               0.001557
                     12,                 1.2565,                0.72116,                 1.1002,                0.84272,                0.85842,                0.89019,                0.45147,                 1.2506,                0.67955,                 1.1267,               0.001546,               0.001546,               0.001546
                     13,                 1.2531,                0.72207,                 1.1057,                0.77032,                 0.8237,                0.81658,                0.40968,                 1.2486,                0.67904,                 1.1227,               0.001535,               0.001535,               0.001535
                     14,                 1.2616,                 0.7129,                    1.1,                 0.8088,                0.90794,                0.88837,                0.43959,                 1.2673,                 0.6931,                 1.1502,               0.001524,               0.001524,               0.001524
                     15,                 1.2493,                0.70052,                 1.0953,                0.78319,                0.85146,                0.82535,                0.43313,                 1.1966,                0.64732,                 1.0886,               0.001513,               0.001513,               0.001513
                     16,                 1.2167,                0.68371,                 1.0848,                0.84551,                0.86012,                0.86145,                0.43968,                 1.2557,                0.71542,                 1.1269,               0.001502,               0.001502,               0.001502
                     17,                 1.2343,                0.68338,                  1.095,                 0.8205,                0.87961,                0.86688,                0.45079,                  1.215,                0.62527,                  1.095,               0.001491,               0.001491,               0.001491
                     18,                 1.2366,                0.68831,                 1.0938,                 0.9237,                0.88081,                  0.906,                0.44798,                 1.2327,                0.65548,                 1.1212,                0.00148,                0.00148,                0.00148
                     19,                 1.2459,                0.67329,                 1.0924,                0.86517,                0.88249,                0.90334,                0.46476,                 1.2035,                0.62841,                 1.0783,               0.001469,               0.001469,               0.001469
                     20,                  1.215,                0.65949,                  1.077,                0.88348,                0.88385,                0.89493,                0.47554,                 1.2219,                0.60456,                 1.1041,               0.001458,               0.001458,               0.001458
                     21,                 1.2239,                0.66619,                 1.0838,                0.88197,                0.91082,                0.92797,                0.48408,                 1.2156,                0.62735,                 1.0997,               0.001447,               0.001447,               0.001447
                     22,                 1.1968,                  0.666,                 1.0816,                0.86648,                0.89217,                0.90736,                0.49884,                  1.186,                0.62411,                 1.0929,               0.001436,               0.001436,               0.001436
                     23,                  1.197,                0.63096,                 1.0682,                0.86419,                0.86367,                0.88353,                0.46746,                 1.1997,                 0.5914,                 1.0792,               0.001425,               0.001425,               0.001425
                     24,                 1.2075,                0.63788,                 1.0753,                0.88396,                0.90504,                0.89326,                0.47226,                 1.2036,                  0.627,                 1.0916,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1894,                0.63007,                  1.065,                0.89833,                0.89575,                0.93621,                 0.4816,                  1.216,                0.60143,                 1.0932,              0.0014029,              0.0014029,              0.0014029
                     26,                  1.185,                0.63174,                 1.0623,                0.88212,                0.88385,                0.89303,                0.47339,                 1.1936,                0.62465,                 1.0791,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.2001,                0.64124,                 1.0718,                0.87696,                0.90664,                0.91128,                0.48074,                 1.1951,                0.59965,                 1.0981,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.1773,                0.62971,                 1.0654,                0.93238,                0.91266,                0.92613,                0.47477,                  1.227,                0.61478,                 1.1102,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.1918,                 0.6345,                 1.0695,                0.86806,                0.89741,                0.86587,                0.47083,                 1.2531,                0.62731,                 1.1165,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.1749,                0.61976,                 1.0654,                0.91304,                0.88469,                0.89656,                0.47073,                  1.202,                0.58176,                 1.0706,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.1719,                0.60774,                 1.0612,                 0.9269,                0.90489,                0.92181,                  0.501,                  1.178,                0.58211,                 1.0654,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.1602,                0.60764,                 1.0542,                0.87982,                0.89485,                0.88796,                0.47594,                 1.1869,                0.58346,                 1.0783,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.1663,                 0.6112,                 1.0535,                0.91415,                0.93302,                0.93955,                0.50639,                 1.2054,                0.57525,                 1.0932,              0.0013149,              0.0013149,              0.0013149
                     34,                  1.156,                0.60179,                 1.0527,                0.90427,                0.91012,                0.92399,                0.52393,                  1.177,                 0.5821,                 1.0748,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.1531,                0.59055,                 1.0539,                0.93673,                0.89368,                0.93085,                0.50205,                 1.1992,                0.58099,                 1.0889,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.1727,                 0.6004,                 1.0578,                0.92934,                0.91179,                0.94496,                0.52428,                 1.1882,                0.58612,                 1.0789,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.1644,                0.59624,                 1.0651,                0.91471,                0.92793,                0.93351,                 0.4965,                 1.1811,                0.57163,                 1.0781,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.1652,                0.59374,                 1.0601,                0.89798,                0.89873,                0.89775,                0.49935,                 1.1822,                0.57385,                 1.0944,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.1582,                0.57253,                 1.0513,                0.88387,                0.87183,                0.90304,                0.49085,                 1.1668,                0.57639,                 1.0839,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.1436,                0.59499,                 1.0494,                0.90063,                0.91977,                0.91694,                0.50164,                 1.1659,                0.54914,                 1.0579,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.1413,                0.58248,                  1.045,                 0.8858,                0.90653,                0.90556,                0.49241,                 1.1711,                0.54619,                  1.067,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.1326,                0.58449,                 1.0456,                0.90506,                0.88665,                 0.8925,                 0.4759,                 1.1706,                 0.5461,                 1.0664,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.1449,                0.57718,                 1.0521,                0.91775,                0.92091,                0.93696,                0.52038,                 1.1727,                0.54227,                 1.0722,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.1305,                0.57035,                 1.0523,                0.94716,                0.91564,                0.92517,                0.49487,                 1.1598,                0.54682,                 1.0755,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.1501,                0.57474,                   1.04,                0.89714,                0.91438,                0.89843,                0.49681,                 1.1721,                0.55392,                 1.0677,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.1215,                0.57007,                  1.038,                0.91462,                0.91417,                0.91676,                0.49626,                 1.1549,                0.55803,                 1.0644,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.1327,                0.57073,                 1.0442,                0.89846,                0.89973,                0.91342,                 0.4898,                 1.1898,                0.57809,                 1.0868,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.1411,                0.56901,                 1.0514,                0.91801,                0.89996,                0.92083,                0.49936,                 1.1927,                 0.5737,                 1.0915,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.1224,                0.56624,                 1.0391,                0.92208,                0.89171,                0.92127,                0.50705,                 1.1751,                0.57067,                  1.076,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.1155,                0.55512,                 1.0362,                0.90808,                0.90221,                0.92945,                 0.5269,                 1.1642,                0.55081,                 1.0703,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.1092,                0.55741,                 1.0369,                0.90272,                0.91012,                0.92766,                0.51488,                 1.1717,                 0.5567,                 1.0722,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.1138,                0.56076,                 1.0412,                0.89913,                0.92082,                0.91797,                0.50279,                  1.165,                0.54216,                 1.0744,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.1186,                 0.5578,                 1.0434,                0.91314,                0.92278,                0.94029,                0.50185,                 1.1698,                 0.5356,                 1.0806,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.1148,                 0.5549,                 1.0392,                0.91407,                0.91794,                0.93784,                0.50927,                  1.144,                0.53093,                 1.0741,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.1225,                0.55689,                 1.0431,                 0.9405,                0.88212,                0.91511,                0.51857,                 1.1643,                0.53835,                 1.0619,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.1068,                0.53379,                 1.0305,                0.89482,                0.91013,                0.91252,                0.51278,                 1.1367,                   0.53,                 1.0498,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.0982,                0.54015,                 1.0266,                0.92001,                0.91605,                0.94596,                 0.5222,                 1.1689,                0.52233,                 1.0613,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.0958,                0.53709,                 1.0283,                0.90205,                0.91861,                0.91988,                0.50448,                 1.1506,                0.53142,                 1.0512,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.0887,                0.53024,                 1.0301,                0.91085,                0.93636,                0.93785,                0.50938,                  1.153,                0.56552,                 1.0753,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.0889,                0.53207,                 1.0319,                0.95211,                 0.9021,                0.94533,                0.52092,                 1.1445,                0.52429,                 1.0679,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.1082,                0.53937,                 1.0394,                0.89556,                0.90464,                0.92024,                0.51652,                 1.1506,                0.54546,                 1.0613,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.1081,                0.54552,                  1.035,                0.90057,                0.90517,                0.92026,                0.52021,                 1.1402,                 0.5188,                 1.0627,             0.00099587,             0.00099587,             0.00099587
                     63,                   1.11,                0.54023,                 1.0351,                0.89255,                0.88551,                0.86588,                0.49359,                 1.1543,                0.51972,                 1.0596,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.0938,                0.53675,                 1.0331,                0.91708,                0.90522,                0.92211,                 0.5006,                 1.1662,                0.53691,                 1.0753,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.0838,                0.51214,                 1.0266,                0.92762,                0.92199,                0.94421,                0.51915,                 1.1496,                0.51882,                 1.0534,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.0842,                0.53178,                  1.023,                0.90275,                0.91011,                0.90711,                0.50848,                 1.1383,                0.52685,                 1.0516,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.0883,                 0.5256,                 1.0234,                0.93978,                0.93556,                0.94515,                0.52676,                 1.1553,                0.52891,                 1.0712,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.0812,                0.51988,                 1.0302,                0.93653,                0.92635,                0.94515,                0.51842,                 1.1438,                0.53109,                 1.0715,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.0774,                 0.5218,                 1.0279,                0.90661,                0.90674,                0.91556,                0.50969,                 1.1706,                 0.5217,                  1.076,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.0889,                0.51995,                 1.0329,                0.94157,                0.90068,                0.92069,                0.52344,                  1.148,                0.53384,                 1.0624,             0.00090785,             0.00090785,             0.00090785
                     71,                  1.071,                0.51955,                 1.0266,                0.92562,                0.92173,                0.92074,                0.49771,                 1.1571,                0.51318,                 1.0649,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.0809,                0.50404,                 1.0259,                 0.9216,                0.91691,                0.92664,                0.52118,                 1.1504,                 0.5085,                 1.0612,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.0627,                0.50369,                 1.0198,                 0.9299,                0.92538,                0.93616,                0.54043,                 1.1444,                0.50474,                 1.0595,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.0853,                0.51075,                 1.0223,                0.94547,                0.89778,                0.93883,                0.53448,                 1.1544,                0.51832,                 1.0703,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.0618,                0.50235,                  1.013,                0.91078,                0.91182,                0.92213,                0.51027,                 1.1535,                0.51332,                 1.0809,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.0679,                0.50136,                 1.0214,                0.91825,                0.91654,                0.92639,                0.52431,                 1.1425,                0.51531,                 1.0673,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.0603,                 0.5109,                 1.0239,                0.90749,                0.91844,                 0.9187,                0.51648,                 1.1444,                0.51771,                 1.0668,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.0575,                0.50832,                 1.0162,                0.91893,                0.92961,                0.94852,                0.53483,                 1.1451,                0.52671,                 1.0687,             0.00081983,             0.00081983,             0.00081983
                     79,                  1.064,                0.49419,                 1.0171,                0.94685,                0.91135,                0.94807,                0.52328,                  1.155,                 0.5176,                 1.0664,             0.00080883,             0.00080883,             0.00080883
                     80,                  1.069,                0.53122,                 1.0245,                0.92212,                0.91306,                0.92761,                0.51588,                 1.1522,                0.52104,                 1.0756,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.0607,                0.50657,                 1.0309,                0.92541,                0.92034,                 0.9314,                0.51222,                 1.1454,                0.50619,                 1.0675,             0.00078682,             0.00078682,             0.00078682
                     82,                 1.0568,                0.49758,                 1.0131,                0.91554,                0.94168,                0.95145,                0.52771,                 1.1519,                0.52597,                  1.071,             0.00077582,             0.00077582,             0.00077582
                     83,                   1.05,                0.49622,                   1.02,                0.91441,                0.92475,                0.93542,                0.51247,                 1.1391,                0.51777,                 1.0582,             0.00076482,             0.00076482,             0.00076482
                     84,                 1.0485,                0.50041,                 1.0137,                0.92867,                0.89825,                0.94537,                0.54105,                 1.1451,                0.51467,                 1.0647,             0.00075382,             0.00075382,             0.00075382
                     85,                 1.0538,                0.49394,                 1.0191,                0.93136,                0.89878,                0.93189,                0.52528,                 1.1413,                0.51439,                 1.0529,             0.00074282,             0.00074282,             0.00074282
                     86,                 1.0437,                0.49327,                 1.0103,                0.92148,                0.92566,                0.93561,                0.49883,                  1.158,                0.51883,                  1.069,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.0597,                0.49027,                 1.0247,                0.90455,                0.91859,                0.93456,                0.50958,                 1.1453,                0.51444,                 1.0768,             0.00072081,             0.00072081,             0.00072081
                     88,                 1.0451,                0.49366,                 1.0171,                 0.9277,                0.91399,                0.93019,                0.51308,                 1.1403,                0.50487,                 1.0689,             0.00070981,             0.00070981,             0.00070981
                     89,                 1.0506,                0.49367,                  1.014,                0.91453,                0.92653,                0.95197,                0.52295,                 1.1441,                0.50983,                  1.069,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.0353,                0.49673,                 1.0108,                0.92556,                0.89046,                0.90548,                0.50895,                 1.1343,                0.51041,                  1.064,              0.0006878,              0.0006878,              0.0006878
                     91,                 1.0311,                0.47756,                 1.0066,                0.93459,                0.91567,                0.93756,                0.51694,                 1.1513,                0.50702,                 1.0713,              0.0006768,              0.0006768,              0.0006768
                     92,                 1.0402,                0.48576,                 1.0115,                0.93349,                0.88433,                0.91775,                0.51963,                 1.1424,                0.51879,                 1.0505,              0.0006658,              0.0006658,              0.0006658
                     93,                 1.0385,                0.48389,                 1.0127,                0.92447,                0.89081,                0.92579,                0.51988,                  1.141,                0.51037,                 1.0624,              0.0006548,              0.0006548,              0.0006548
                     94,                 1.0185,                0.47936,                 1.0094,                0.93723,                 0.9135,                0.93404,                0.52187,                 1.1392,                0.52244,                 1.0612,              0.0006438,              0.0006438,              0.0006438
                     95,                 1.0355,                0.48194,                 1.0012,                0.93025,                0.89908,                0.93483,                0.52513,                 1.1504,                0.50077,                 1.0546,             0.00063279,             0.00063279,             0.00063279
                     96,                 1.0278,                0.47656,                 1.0049,                0.93531,                 0.9135,                 0.9343,                0.52624,                  1.154,                 0.5103,                 1.0649,             0.00062179,             0.00062179,             0.00062179
                     97,                 1.0302,                0.47767,                 1.0079,                0.94108,                0.91605,                0.94032,                0.53708,                 1.1492,                0.50211,                 1.0634,             0.00061079,             0.00061079,             0.00061079
                     98,                 1.0188,                0.47277,                0.99824,                  0.947,                0.92622,                0.95806,                 0.5403,                 1.1391,                0.49275,                 1.0385,             0.00059979,             0.00059979,             0.00059979
                     99,                 1.0151,                0.46443,                  0.997,                0.93676,                0.92516,                 0.9531,                0.52854,                 1.1436,                 0.5061,                  1.055,             0.00058878,             0.00058878,             0.00058878
                    100,                 1.0227,                  0.465,                 1.0034,                0.93051,                0.89014,                0.93594,                0.52662,                 1.1325,                0.51536,                 1.0532,             0.00057778,             0.00057778,             0.00057778
                    101,                 1.0121,                 0.4678,                 1.0018,                0.91025,                0.91841,                0.93003,                0.52853,                 1.1444,                0.50685,                 1.0608,             0.00056678,             0.00056678,             0.00056678
                    102,                  1.001,                0.47544,                0.99438,                0.91911,                0.89412,                0.91634,                0.50004,                 1.1336,                0.49677,                 1.0475,             0.00055578,             0.00055578,             0.00055578
                    103,                 1.0166,                0.46746,                0.99673,                0.91275,                0.91251,                 0.9229,                0.51952,                  1.127,                0.48858,                 1.0487,             0.00054478,             0.00054478,             0.00054478
                    104,                 1.0041,                0.47407,                0.99275,                0.92294,                0.90005,                0.91313,                0.51501,                 1.1364,                0.48546,                 1.0466,             0.00053377,             0.00053377,             0.00053377
                    105,                 1.0211,                0.45906,                0.99283,                0.94465,                0.91346,                0.94386,                0.52436,                 1.1417,                0.48981,                 1.0535,             0.00052277,             0.00052277,             0.00052277
                    106,                 1.0006,                0.45418,                0.99751,                 0.9151,                0.90161,                0.94322,                0.52012,                 1.1304,                0.50077,                 1.0551,             0.00051177,             0.00051177,             0.00051177
                    107,                 1.0067,                0.45496,                 1.0001,                 0.9123,                0.90587,                0.93796,                0.51947,                  1.133,                0.51041,                 1.0601,             0.00050077,             0.00050077,             0.00050077
                    108,                 1.0255,                0.46963,                 1.0049,                   0.94,                 0.9049,                0.94981,                0.52905,                 1.1362,                0.48935,                  1.058,             0.00048976,             0.00048976,             0.00048976
                    109,                 1.0113,                0.46235,                 1.0025,                  0.936,                0.90623,                0.94444,                0.51658,                 1.1452,                 0.5087,                 1.0634,             0.00047876,             0.00047876,             0.00047876
                    110,                0.98107,                0.44846,                0.99346,                 0.9067,                0.92447,                0.93676,                0.52146,                 1.1247,                0.48765,                 1.0596,             0.00046776,             0.00046776,             0.00046776
                    111,                0.99904,                0.45048,                0.99724,                0.91862,                0.94363,                0.94627,                0.52139,                 1.1324,                0.49179,                 1.0601,             0.00045676,             0.00045676,             0.00045676
                    112,                 1.0183,                0.45473,                0.99786,                  0.896,                0.91012,                0.91898,                0.51097,                 1.1411,                0.50989,                  1.064,             0.00044576,             0.00044576,             0.00044576
                    113,                0.99431,                0.44539,                0.99702,                0.92268,                0.89147,                0.92884,                0.51667,                 1.1271,                0.49176,                 1.0628,             0.00043475,             0.00043475,             0.00043475
                    114,                0.99726,                0.44808,                0.99251,                0.91468,                0.91636,                0.93405,                0.52172,                 1.1314,                 0.4831,                 1.0634,             0.00042375,             0.00042375,             0.00042375
                    115,                0.98281,                0.44651,                0.98859,                0.93292,                0.92537,                 0.9532,                0.52021,                 1.1415,                0.48159,                 1.0566,             0.00041275,             0.00041275,             0.00041275
                    116,                0.99388,                0.44766,                0.99241,                0.92881,                0.92403,                0.93918,                0.52154,                 1.1367,                0.48776,                 1.0486,             0.00040175,             0.00040175,             0.00040175
                    117,                  0.991,                0.45027,                0.98994,                0.91457,                0.94666,                0.95256,                0.52233,                 1.1409,                0.48773,                  1.059,             0.00039074,             0.00039074,             0.00039074
                    118,                0.98209,                0.44146,                0.99104,                0.92779,                0.93616,                0.95347,                0.53401,                 1.1418,                0.49651,                 1.0646,             0.00037974,             0.00037974,             0.00037974
                    119,                0.98244,                0.43874,                0.99329,                0.92238,                0.94709,                0.95189,                0.53235,                 1.1352,                0.49422,                 1.0574,             0.00036874,             0.00036874,             0.00036874
                    120,                0.98517,                0.43402,                0.99312,                0.89497,                 0.9188,                0.91843,                0.52114,                 1.1352,                0.48132,                 1.0549,             0.00035774,             0.00035774,             0.00035774
                    121,                0.97541,                0.43606,                0.98726,                0.90895,                0.93967,                0.94899,                0.52943,                 1.1388,                0.48125,                 1.0538,             0.00034674,             0.00034674,             0.00034674
                    122,                0.98147,                0.44406,                0.99394,                 0.9419,                0.91944,                0.94892,                0.52632,                 1.1419,                0.47768,                 1.0589,             0.00033573,             0.00033573,             0.00033573
                    123,                0.97785,                0.43492,                0.98447,                0.93945,                0.90127,                0.94806,                0.51669,                  1.139,                0.48447,                 1.0494,             0.00032473,             0.00032473,             0.00032473
                    124,                0.98281,                  0.435,                0.99073,                0.91713,                0.92623,                0.94179,                0.52261,                 1.1389,                0.47919,                 1.0485,             0.00031373,             0.00031373,             0.00031373
                    125,                0.97239,                0.43257,                0.98887,                0.91176,                0.94651,                0.95164,                0.52695,                 1.1412,                0.49107,                 1.0546,             0.00030273,             0.00030273,             0.00030273
                    126,                0.98077,                0.43408,                0.98548,                0.93877,                 0.9252,                0.95692,                0.52841,                 1.1427,                0.49223,                 1.0547,             0.00029172,             0.00029172,             0.00029172
                    127,                0.96489,                0.42604,                0.98408,                0.93427,                0.92059,                0.95323,                0.53185,                 1.1471,                 0.4852,                 1.0561,             0.00028072,             0.00028072,             0.00028072
                    128,                0.95826,                0.42628,                0.98044,                0.94113,                0.92235,                0.95598,                0.52426,                 1.1492,                0.48356,                 1.0583,             0.00026972,             0.00026972,             0.00026972
                    129,                0.96797,                0.43073,                0.98177,                0.94239,                0.91596,                0.95209,                0.53116,                 1.1451,                0.48218,                 1.0569,             0.00025872,             0.00025872,             0.00025872
                    130,                0.96642,                0.43112,                0.98158,                0.94114,                0.90502,                0.94946,                0.53384,                 1.1469,                 0.4815,                 1.0545,             0.00024772,             0.00024772,             0.00024772
                    131,                0.96734,                0.42303,                0.98233,                 0.9442,                0.91265,                0.94969,                0.52853,                 1.1457,                0.48686,                 1.0592,             0.00023671,             0.00023671,             0.00023671
                    132,                0.96839,                0.42725,                0.98677,                0.91794,                0.90587,                0.94067,                0.52955,                 1.1425,                 0.4838,                 1.0583,             0.00022571,             0.00022571,             0.00022571
                    133,                 0.9379,                0.41358,                0.97854,                0.92417,                0.91606,                0.94869,                0.52662,                 1.1421,                 0.4858,                 1.0574,             0.00021471,             0.00021471,             0.00021471
                    134,                0.95964,                0.43852,                0.98838,                0.90045,                0.94543,                0.95284,                0.52699,                 1.1496,                0.47756,                 1.0624,             0.00020371,             0.00020371,             0.00020371
                    135,                0.95362,                 0.4214,                0.98299,                0.92062,                0.93146,                0.94358,                0.52466,                 1.1404,                0.48832,                 1.0555,             0.00019271,             0.00019271,             0.00019271
                    136,                0.94515,                0.41731,                0.98101,                0.90295,                0.93018,                0.93697,                0.52939,                 1.1473,                 0.4899,                 1.0575,              0.0001817,              0.0001817,              0.0001817
                    137,                0.93542,                0.41272,                0.97612,                0.90933,                0.92708,                0.93566,                0.52524,                 1.1374,                0.47774,                 1.0529,              0.0001707,              0.0001707,              0.0001707
                    138,                0.95044,                0.41362,                0.97789,                0.91873,                0.93011,                0.94671,                0.53609,                 1.1387,                0.47836,                 1.0554,              0.0001597,              0.0001597,              0.0001597
                    139,                0.93071,                0.41635,                0.96973,                0.92387,                0.91689,                0.94431,                0.52965,                 1.1354,                0.47967,                  1.052,              0.0001487,              0.0001487,              0.0001487
                    140,                0.95361,                 0.4231,                0.97979,                0.91029,                0.93848,                0.94924,                0.52413,                  1.139,                0.48169,                 1.0534,             0.00013769,             0.00013769,             0.00013769
                    141,                0.94407,                0.39111,                0.97957,                0.91504,                 0.9301,                0.94398,                0.52287,                 1.1441,                0.48545,                 1.0589,             0.00012669,             0.00012669,             0.00012669
                    142,                0.93743,                0.39123,                0.98504,                0.91178,                0.93034,                0.94305,                0.51934,                 1.1406,                0.48061,                 1.0574,             0.00011569,             0.00011569,             0.00011569
                    143,                 0.9393,                0.37777,                0.97648,                0.92402,                0.91674,                0.94256,                0.52652,                  1.138,                0.48294,                 1.0606,             0.00010469,             0.00010469,             0.00010469
                    144,                0.94006,                0.38187,                0.98405,                0.90745,                0.93556,                0.94287,                0.52289,                 1.1365,                0.48483,                 1.0607,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.92702,                0.37857,                0.97323,                0.94843,                0.90038,                0.94427,                0.52538,                 1.1406,                0.48172,                 1.0612,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.93561,                0.38506,                0.98157,                0.91157,                0.93739,                0.94439,                0.52167,                 1.1447,                0.47747,                 1.0642,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.92417,                0.37849,                0.97873,                0.90299,                0.93893,                0.94488,                0.52188,                 1.1448,                0.47818,                 1.0625,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.92641,                 0.3774,                 0.9757,                0.90412,                0.93675,                0.94525,                0.52391,                 1.1428,                0.47614,                 1.0598,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.92383,                0.37156,                0.97342,                0.89597,                0.92834,                0.93763,                 0.5277,                 1.1431,                0.47465,                 1.0588,             3.8674e-05,             3.8674e-05,             3.8674e-05
                    150,                0.92314,                0.37278,                0.97564,                0.90603,                0.92481,                0.93788,                0.52499,                 1.1427,                0.47265,                 1.0589,             2.7672e-05,             2.7672e-05,             2.7672e-05
